player,team,avg_hr_trot,doubters,no_doubters,no_doubter_per,hr_total,xhr
"Aaron Judge,",NYY,23.89,13,30,49.2,61,56.2
"Shohei Ohtani,",LAD,23.3,19,33,57.9,57,52.9
"Anthony Santander,",BAL,28.09,10,20,45.5,44,36.4
"Kyle Schwarber,",PHI,25.28,5,22,56.4,39,38.3
"Pete Alonso,",NYM,22.8,8,22,57.9,38,35.5
"Yordan Alvarez,",HOU,27.37,14,14,40.0,35,29.6
"Tyler O'Neill,",BOS,21.2,7,15,48.4,31,29.3
"Manny Machado,",SD,28.4,11,11,36.7,30,28.2
"Ian Happ,",CHC,22.71,9,8,32.0,25,23.7
"Taylor Ward,",LAA,24.22,15,8,32.0,25,23.5
